2023-11-07 17:44:25.174 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Sev1Tech LLC : Jr. Network Engineer Intern
2023-11-07 17:44:25.412 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Greyson Technologies Inc. : Network Engineer (Intern)
2023-11-07 17:44:25.869 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved SiriusXM : Summer Intern, Network Engineering
2023-11-07 17:44:26.217 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved SiriusXM : Summer Intern, Network Engineering
2023-11-07 17:44:26.518 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Nemours : Associate Network Analyst
2023-11-07 17:44:26.872 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Lenovo : Server I/O Engineer (Summer Intern)
2023-11-07 17:44:27.086 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:27.373 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:27.630 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved ClearanceJobs : Network Engineer 1-3 (SkillBridge Intern) - 8372 with Security Clearance
2023-11-07 17:44:27.917 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved ClearanceJobs : Network Engineer 1-3 (SkillBridge Intern) - 8372 with Security Clearance
2023-11-07 17:44:28.418 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:28.663 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:28.961 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:29.189 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:29.500 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:30.026 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved NTT Ltd. : MS Engineer L1 (Security)
2023-11-07 17:44:30.805 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved UHS : Software Engineer Intern (SQL Server)*
2023-11-07 17:44:31.178 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:31.444 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:31.610 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:31.766 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:32.105 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:32.399 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved NTT Ltd. : MS Engineer (L1)-3
2023-11-07 17:44:32.646 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:32.809 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:32.927 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:33.244 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:33.389 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:33.627 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:33.766 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:33.969 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved WayUp : Americold Logistics, Infrastructure Systems Engineer Intern - Application via WayUp
2023-11-07 17:44:34.285 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:34.604 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved WayUp : Americold Logistics, Infrastructure Cloud Engineer Intern - Application via WayUp
2023-11-07 17:44:34.776 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:34.909 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:35.057 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:35.358 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:35.648 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved McCormick & Company : Engineering Intern Summer 2024
2023-11-07 17:44:35.795 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:35.963 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:36.319 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved GHD : Mechanical Facilities Engineering Intern
2023-11-07 17:44:36.533 | DEBUG    | __main__:scrape_linkedin:185 - Retrieved Hearth & Home Technologies : Manufacturing Engineer Internship
2023-11-07 17:44:36.775 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:36.956 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:37.105 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:37.442 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:37.612 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:37.804 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:37.969 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.086 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.207 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.470 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.611 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.789 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:38.947 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:39.111 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:39.264 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:39.563 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:39.725 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:39.932 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:40.086 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:40.234 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:40.524 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:40.846 | DEBUG    | __main__:scrape_linkedin:185 - 
2023-11-07 17:44:40.988 | DEBUG    | __main__:scrape_linkedin:185 - 
